,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair
0,2.0,1000.0,50.0,5.0,0.006,0.36,0.184,1.0,0.404,1.0,0.404,0.404
1,2.0,1000.0,100.0,5.0,0.076,0.548,0.465,1.0,0.736,1.0,0.736,0.736
2,2.0,1000.0,150.0,5.0,0.207,0.628,0.571,1.0,0.85,1.0,0.85,0.85
3,2.0,1000.0,200.0,5.0,0.354,0.666,0.636,1.0,0.894,1.0,0.894,0.894
4,2.0,1000.0,250.0,5.0,0.452,0.737,0.72,1.0,0.945,1.0,0.945,0.945
5,2.0,1000.0,300.0,5.0,0.541,0.781,0.771,1.0,0.961,1.0,0.961,0.961
6,2.0,1000.0,350.0,5.0,0.575,0.764,0.752,1.0,0.962,1.0,0.962,0.962
7,2.0,1000.0,400.0,5.0,0.626,0.797,0.791,1.0,0.968,1.0,0.968,0.968
8,2.0,1000.0,450.0,5.0,0.624,0.792,0.788,1.0,0.982,1.0,0.982,0.982
